PADV390256TX1,0
NYRT330012TX1,1
ALOB010033TX1,2
NCCM340113TX1,3
NYRT330234TX1,4
GALL110010TX1,16
LAOP193300TX1,6
TXGC450193TX1,7
ILIP143300TX1,8
MNOP240080TX1,9
CADN053305TX1,10
NCNC340030TX1,11
PATF39012FTX1,12
FLUF100113TX1,13
NCNC340061TX1,14
PADV390027TX1,15
CASD053303TX1,5
FLUF100151TX1,95
TXSB450044TX1,18
TXGC453304TX1,19
OHLB360137TX1,20
MOMA263300TX1,122
FLMP100022TX1,22
AZOB030064TX1,23
DCTC090004TX1,24
TXSB450021TX1,25
MIOP230046TX1,26
ORUO38003FVA1,27
MIOP233300TX1,28
CAOP050327TX1,29
PADV393303TX1,30
TXGC450137TX1,31
PATF390050TX1,32
MAOB220116TX1,78
AZOB033302TX1,34
WIDN520177TX1,35
PADV390006TX1,36
CADN050047TX1,37
TXSB453302TX1,38
TNMS443301TX1,39
AZOB030002TX1,79
FLFH100007TX1,41
CASD050025TX1,42
OHOV360003TX1,43
ALOB013300TX1,44
MAOB220163TX1,45
UTOP460010TX1,46
LAOP190036TX1,47
TXGC450068TX1,48
UTOP469999TX1,49
LAOP190111TX1,50
CAOP050502TX1,51
MIOP230130TX1,52
MAOB220086TX1,53
ILIP140119TX1,54
MWOB260138TX1,55
CAOP050262TX1,56
WALC500027TX1,57
ILIP140088TX1,58
MOMA260105TX1,59
SCOP420004TX1,60
PRLL400016TX1,61
ILIP140150TX1,62
NJTO310119TX1,63
ORUO380009TX1,64
OKOP370093TX1,65
NJTO310029TX1,66
ILIP140276TX1,67
PATF393302TX1,68
MDPC210009TX1,69
WIDN523300TX1,70
PADV390290TX1,71
NYRT330101TX1,72
NYRT330024TX1,73
TXSA450388TX1,74
OKOP370028TX1,75
MDPC210002TX1,76
NEOR280013TX1,77
TXSB450018TX1,33
TXGC450358TX1,40
CORS063301TX1,80
MNOP240049TX1,81
CASD050424TX1,82
NYFL330285TX1,83
CAOP050348TX1,84
CTOP070025TX1,85
INOP150056TX1,86
MOMA260032TX1,87
PADV083300TX1,88
PADV393301TX1,89
AZOB030103TX1,90
TXSA450237TX1,91
LAOP190135TX1,92
WALC503300TX1,125
PADV390142TX1,93
PADV390111TX1,94
AROR040016TX1,17
MWOB170040TX1,96
FLWC100128TX1,97
OHLP360085TX1,98
MNOP240010TX1,99
TNMS440049TX1,100
CAOP050625TX1,101
HIOP120010TX1,102
TNDS440039TX1,103
FLMP100039TX1,105
KYDA180040TX1,106
MOMA263301TX1,107
MWOB263302TX1,108
ILIP140281TX1,109
UTOP460009TX1,110
HIOP120001TX1,111
CAOP053302TX1,112
PADV390174TX1,113
NYRT330059TX1,114
MSOP250001TX1,115
GALL110083TX1,116
CAGS050599TX1,117
OHLB360180TX1,118
CADN050454TX1,119
MAOB070022TX1,120
TXGC480010FTX1,121
MAOB220171TX1,21
VATB490009TX1,123
LAOP190176TX1,124
GALL110196TX1,104
AROR040117TX1,145
CADN050441TX1,127
CORS060064TX1,128
MNOP240061TX1,129
VATB490032TX1,130
NYRT330214TX1,131
TXSB450051TX1,132
IAOP160058TX1,133
DCTC490063TX1,134
WIDN520138TX1,135
MIOP230053TX1,136
MAOB220071TX1,137
KYDA180067TX1,138
PATF390164TX1,139
CORS060024TX1,140
WALC500008TX1,141
OHOV363300TX1,142
WIUW520098TX1,143
FLMP100289TX1,144
CAOP050696TX1,126
TXSA450213TX1,146
MAOB223302TX1,147
